product_id,reporting_date,country_code,units,price,sales,cogs,discounts,refunds,advertising_fees,returns,sde,fees
15,2022-01-08,us,3,29.333333333000002,88.0,-41.75,0.0,-9.95,-11.33,,2.83,-22.14
22,2022-01-08,fr,1,24.99,24.99,-4.67,0.0,,-1.25,,8.82,-10.25
18,2022-01-08,de,21,29.685238095,623.39,-120.12,-6.22,-61.58,-76.96,1.0,164.47,-194.04000000000002
26,2022-01-08,us,32,31.10125,995.24,-186.74,-9.69,-51.49,-120.86,,318.6,-307.86
20,2022-01-08,de,4,29.4,117.6,-23.44,0.0,-30.79,-14.66,,11.75,-36.96
37,2022-01-08,de,11,21.180909091,232.99,-77.66,-1.67,,-40.31,,43.28,-70.07
30,2022-01-08,us,2,21.77,43.54,-14.29,-1.31,-19.09,-7.55,1.0,-10.18,-11.48
38,2022-01-08,de,2,42.01,84.02,-24.42,0.0,,-7.33,,32.03,-20.240000000000002
34,2022-01-09,it,3,8.19,24.57,-6.27,0.0,,-8.36,,5.28,-4.66
2,2022-01-09,de,1,49.82,49.82,-17.25,-3.35,,-3.93,,12.57,-12.719999999999999
10,2022-01-09,de,9,13.497777778,121.48,-27.63,0.0,,-35.37,,14.2,-44.28
2,2022-01-09,fr,2,50.41,100.82,-34.5,0.0,,-3.97,,30.63,-31.72
8,2022-01-09,fr,1,16.66,16.66,-5.57,0.0,,-1.98,,2.6,-6.51
42,2022-01-09,de,3,25.13,75.39,-20.85,0.0,,-11.79,,21.69,-21.06
22,2022-01-09,de,5,29.4,147.0,-23.35,0.0,,-19.65,,60.85,-43.15
44,2022-01-09,de,24,17.150416667000002,411.61,-143.52,-3.58,,-94.31,1.0,37.72,-132.48
5,2022-01-09,de,6,21.331666667,127.99,-32.82,-1.67,,-23.58,,40.22,-29.7
33,2022-01-09,de,4,8.7625,35.05,-3.52,-1.25,-9.35,-15.72,,-2.59,-7.8
37,2022-01-09,de,17,21.161764706,359.75,-120.02,-1.68,,-66.81,,62.95,-108.28999999999999
32,2022-01-09,nl,1,21.89,21.89,-4.58,-1.02,,-0.63,,8.13,-7.53
34,2022-01-09,us,5,11.442,57.21,-12.86,0.0,,-14.64,,6.1,-23.61
14,2022-01-09,us,2,44.03,88.06,-29.28,0.0,,-5.85,1.0,44.27,-8.66
17,2022-01-09,us,45,31.058888889000002,1397.65,-239.01,-10.78,-101.7,-131.72,2.0,404.83,-509.61
26,2022-01-09,us,39,30.886923077,1204.59,-227.75,-2.63,-50.17,-114.15,,383.94,-425.95000000000005
0,2022-01-09,de,1,50.2,50.2,-16.38,-3.35,,-3.93,,14.29,-12.25
18,2022-01-09,fr,1,27.48,27.48,-5.72,-2.08,,-1.98,,7.22,-10.48
15,2022-01-09,us,2,44.03,88.06,-27.85,0.0,,-5.85,,27.39,-26.97
30,2022-01-09,us,1,21.13,21.13,-7.15,0.0,,-2.93,1.0,11.3,-6.9
32,2022-01-09,it,2,27.285,54.57,-9.16,0.0,,-5.57,,13.94,-25.900000000000002
24,2022-01-09,de,37,33.73027027,1248.02,-409.59,-6.14,,-145.4,1.0,368.25,-318.64
20,2022-01-09,us,14,26.415,369.81,-89.16,0.0,,-40.98,,90.23,-149.44
38,2022-01-09,de,6,42.01,252.06,-73.26,0.0,,-23.58,,94.5,-60.72
